pl_name,ra,dec,st_dist,x,y,z
11 Com b,185.179276,17.792868,93.37,,,
11 UMi b,229.274536,71.823898,125.72,,,
14 And b,352.822571,39.236198,75.59,,,
14 Her b,242.601303,43.817646,17.94,,,
16 Cyg B b,295.466553,50.517525,21.15,,,
18 Del b,314.608063,10.839286,76.38,,,
1RXS J160929.1-210524 b,242.376268,-21.083036,145.00,,,
24 Boo b,217.157547,49.844852,96.25,,,
24 Sex b,155.868210,-0.902244,72.21,,,
24 Sex c,155.868210,-0.902244,72.21,,,
2MASS J01033563-5515561 AB b,15.898458,-55.265583,47.20,,,
2MASS J01225093-2439505 b,20.712243,-24.664049,36.00,,,
2MASS J02192210-3925225 b,34.842106,-39.422928,39.40,,,
2MASS J04414489+2301513 b,70.437073,23.030941,140.00,,,
2MASS J12073346-3932539 b,181.889447,-39.548332,64.42,,,
2MASS J19383260+4603591 b,294.635865,46.066418,400.77,,,
2MASS J21402931+1625183 A b,325.122159,16.421759,25.00,,,
2MASS J22362452+4751425 b,339.102203,47.861820,74.00,,,
30 Ari B b,39.240585,24.648064,44.71,,,
4 UMa b,130.053406,64.327934,73.58,,,
42 Dra b,276.496399,65.563484,90.86,,,
47 UMa b,164.866562,40.430256,13.80,,,
47 UMa c,164.866562,40.430256,13.80,,,
47 UMa d,164.866562,40.430256,13.80,,,
51 Eri b,69.400551,-2.473548,29.40,,,
51 Peg b,344.366577,20.768833,15.47,,,
55 Cnc b,133.149216,28.330818,12.59,,,
55 Cnc c,133.149216,28.330818,12.59,,,
55 Cnc d,133.149216,28.330818,12.59,,,
55 Cnc e,133.149216,28.330818,12.59,,,
55 Cnc f,133.149216,28.330818,12.59,,,
6 Lyn b,97.696281,58.162632,54.74,,,
61 Vir b,199.601318,-18.311195,8.51,,,
61 Vir c,199.601318,-18.311195,8.51,,,
61 Vir d,199.601318,-18.311195,8.51,,,
7 CMa b,99.170990,-19.255878,19.82,,,
7 CMa c,99.170990,-19.255878,19.82,,,
70 Vir b,202.107544,13.778788,17.91,,,
75 Cet b,38.039253,-1.034896,83.15,,,
8 UMi b,224.201477,74.900925,163.32,,,
81 Cet b,39.424168,-3.396175,101.53,,,
91 Aqr b,348.972900,-9.087737,44.08,,,
AB Pic b,94.803802,-58.054310,50.12,,,
AU Mic b,311.289703,-31.340899,9.79,,,
BD+03 2562 b,177.564804,2.760142,2618.00,,,
BD+14 4559 b,318.399963,14.689387,49.42,,,
BD+15 2375 b,176.482174,14.616381,774.00,,,
BD+15 2940 b,240.095566,15.546930,431.61,,,
BD+20 2457 b,154.186910,19.891409,1670.85,,,
BD+20 2457 c,154.186910,19.891409,1670.85,,,
BD+20 274 b,25.920324,21.005314,1383.85,,,
BD+20 594 b,53.650967,20.599232,180.39,,,
BD+48 738 b,40.710224,49.586960,892.17,,,
BD+48 740 b,40.742569,48.930061,678.94,,,
BD+49 828 b,45.640529,49.730011,447.59,,,
BD-06 1339 b,88.251183,-5.994844,20.28,,,
BD-06 1339 c,88.251183,-5.994844,20.28,,,
BD-08 2823 b,150.198837,-9.516680,41.38,,,
BD-08 2823 c,150.198837,-9.516680,41.38,,,
BD-10 3166 b,164.620003,-10.770376,84.61,,,
BD-11 4672 b,278.370148,-11.636039,27.30,,,
BD-11 4672 c,278.370148,-11.636039,27.30,,,
BD-13 2130 b,114.288458,-13.906639,948.75,,,
BD-17 63 b,7.142942,-16.226345,34.49,,,
CFBDSIR J145829+101343 b,224.620833,10.228611,23.10,,,
CHXR 73 b,166.619893,-77.625877,191.05,,,
CI Tau b,68.466728,22.841696,158.00,,,
CT Cha b,166.037877,-76.455383,165.00,,,
CoRoT-1 b,102.079885,-3.102147,805.31,,,
CoRoT-10 b,291.063708,0.746143,345.00,,,
CoRoT-11 b,280.687263,5.937688,560.00,,,
CoRoT-12 b,100.765677,-1.296439,1150.00,,,
CoRoT-13 b,102.721137,-5.086445,1060.00,,,
CoRoT-14 b,103.424211,-5.536037,1340.00,,,
CoRoT-16 b,278.524691,-6.002595,840.00,,,
CoRoT-17 b,278.699254,-6.612234,920.00,,,
CoRoT-18 b,98.172410,-0.031586,870.00,,,
CoRoT-19 b,97.033582,-0.170681,770.00,,,
CoRoT-2 b,291.777056,1.383714,200.00,,,
CoRoT-20 b,97.720408,0.226919,864.31,,,
CoRoT-20 c,97.720408,0.226919,864.31,,,
CoRoT-21 b,101.052450,-0.299130,1398.83,,,
CoRoT-22 b,280.667115,6.219136,592.00,,,
CoRoT-23 b,279.782615,4.357806,600.00,,,
CoRoT-24 b,101.922547,-3.719301,600.00,,,
CoRoT-24 c,101.922547,-3.719301,600.00,,,
CoRoT-25 b,280.629662,6.513829,1000.00,,,
CoRoT-26 b,279.750514,6.969787,1670.00,,,
CoRoT-27 b,278.495813,5.538462,1035.15,,,
CoRoT-28 b,278.688338,5.573730,560.00,,,
CoRoT-29 b,278.902103,6.479651,765.00,,,
CoRoT-3 b,292.055263,0.121820,680.00,,,
CoRoT-30 b,277.601100,6.835951,960.00,,,
CoRoT-31 b,94.820729,-4.422276,2190.00,,,
CoRoT-4 b,102.194663,-0.672774,741.60,,,
CoRoT-5 b,101.277254,0.815239,904.65,,,
CoRoT-6 b,281.072525,6.663194,657.24,,,
CoRoT-7 b,100.956125,-1.063033,160.64,,,
CoRoT-7 c,100.956125,-1.063033,160.64,,,
CoRoT-8 b,291.588518,1.426452,380.00,,,
CoRoT-9 b,280.786712,6.204172,417.89,,,
CoRoTID 223977153 b,100.195183,9.257431,586.20,,,
DE CVn b,201.721958,45.546303,30.55,,,
DENIS-P J082303.1-491201 b,125.763050,-49.200359,20.77,,,
DH Tau b,67.423158,26.549520,140.00,,,
DMPP-1 b,86.776115,-10.630232,62.00,,,
DMPP-1 c,86.776115,-10.630232,62.00,,,
DMPP-1 d,86.776115,-10.630232,62.00,,,
DMPP-1 e,86.776115,-10.630232,62.00,,,
DMPP-2 b,27.407873,-34.459129,134.00,,,
DMPP-3 A b,91.624382,-72.512665,48.90,,,
DP Leo b,169.316667,17.961417,305.06,,,
DS Tuc A b,354.914490,-69.195747,44.12,,,
EPIC 201238110 b,179.705933,-3.389389,159.98,,,
EPIC 201497682 b,168.936646,0.488114,254.88,,,
EPIC 201615463 c,185.188293,2.282436,481.00,,,
EPIC 201754305 d,175.097260,4.557340,338.19,,,
EPIC 201833600 c,169.483627,5.988378,259.33,,,
EPIC 201841433 b,175.206772,6.134857,441.94,,,
EPIC 205950854 c,333.109894,-16.341755,245.56,,,
EPIC 206024342 b,331.277222,-14.121665,373.81,,,
EPIC 206032309 b,341.240692,-13.900921,162.09,,,
EPIC 206042996 b,337.513580,-13.610113,457.27,,,
EPIC 206215704 b,335.094818,-9.509531,110.22,,,
EPIC 206317286 b,337.617584,-7.972406,317.20,,,
EPIC 211822797 b,130.410370,17.640005,187.19,,,
EPIC 211945201 b,136.573975,19.402252,182.69,,,
EPIC 212297394 b,207.206223,-17.609905,423.35,,,
EPIC 212424622 b,202.331421,-14.359463,622.67,,,
EPIC 212499991 b,202.488770,-12.734723,285.61,,,
EPIC 212587672 b,205.444702,-10.862432,322.88,,,
EPIC 212737443 b,204.221695,-7.318144,347.45,,,
EPIC 212737443 c,204.221695,-7.318144,347.45,,,
EPIC 220554210 c,13.432017,7.995316,502.28,,,
EPIC 220674823 b,13.079780,10.794699,246.10,,,
EPIC 220674823 c,13.079780,10.794699,246.10,,,
EPIC 246851721 b,78.919746,16.278742,336.70,,,
EPIC 248847494 b,159.389267,11.842731,560.00,,,
EPIC 249893012 b,228.248199,-16.724524,324.22,,,
EPIC 249893012 c,228.248199,-16.724524,324.22,,,
EPIC 249893012 d,228.248199,-16.724524,324.22,,,
FU Tau b,65.898908,25.049898,140.00,,,
G 9-40 b,134.718109,21.076048,27.93,,,
GJ 1061 b,53.998836,-44.512634,3.67,,,
GJ 1061 c,53.998836,-44.512634,3.67,,,
GJ 1061 d,53.998836,-44.512634,3.67,,,
GJ 1132 b,153.715737,-47.156727,12.62,,,
GJ 1132 c,153.715737,-47.156727,12.62,,,
GJ 1148 b,175.435974,42.751972,11.02,,,
GJ 1148 c,175.435974,42.751972,11.02,,,
GJ 1214 b,258.828837,4.963920,14.65,,,
GJ 1252 b,306.925235,-56.456990,20.38,,,
GJ 1265 b,333.428676,-17.685771,10.26,,,
GJ 143 b,51.746769,-63.499100,16.33,,,
GJ 15 A b,4.595356,44.022953,3.56,,,
GJ 15 A c,4.595356,44.022953,3.56,,,
GJ 160.2 b,61.645172,-20.853121,25.88,,,
GJ 163 b,62.315273,-53.373699,15.14,,,
GJ 163 c,62.315273,-53.373699,15.14,,,
GJ 163 d,62.315273,-53.373699,15.14,,,
GJ 179 b,73.023865,6.476539,12.36,,,
GJ 180 b,73.458252,-17.773418,11.94,,,
GJ 180 c,73.458252,-17.773418,11.94,,,
GJ 180 d,73.458252,-17.773418,11.94,,,
GJ 2056 b,108.020042,-24.892090,28.47,,,
GJ 229 A c,92.644234,-21.864643,5.76,,,
GJ 229 b,92.644234,-21.864643,5.76,,,
GJ 27.1 b,9.995098,-44.253220,23.62,,,
GJ 273 b,111.852081,5.225785,3.80,,,
GJ 273 c,111.852081,5.225785,3.80,,,
GJ 3021 b,4.052823,-79.851181,17.56,,,
GJ 3082 b,18.642490,-53.942116,16.63,,,
GJ 3138 b,32.295425,-16.339592,28.49,,,
GJ 3138 c,32.295425,-16.339592,28.49,,,
GJ 3138 d,32.295425,-16.339592,28.49,,,
GJ 317 b,130.246730,-23.456289,15.10,,,
GJ 317 c,130.246730,-23.456289,15.10,,,
GJ 328 b,133.781754,1.546508,20.54,,,
GJ 3293 b,67.148820,-25.169301,20.20,,,
GJ 3293 c,67.148820,-25.169301,20.20,,,
GJ 3293 d,67.148820,-25.169301,20.20,,,
GJ 3293 e,67.148820,-25.169301,20.20,,,
GJ 3323 b,75.489280,-6.946263,5.32,,,
GJ 3323 c,75.489280,-6.946263,5.32,,,
GJ 3341 b,78.944663,-31.295951,23.16,,,
GJ 338 B b,138.602905,52.686375,6.33,,,
GJ 3470 b,119.774349,15.391492,29.45,,,
GJ 3512 b,130.333891,59.497391,9.49,,,
GJ 357 b,144.006821,-21.660797,9.44,,,
GJ 357 c,144.006821,-21.660797,9.44,,,
GJ 357 d,144.006821,-21.660797,9.44,,,
GJ 3634 b,164.646242,-31.143989,19.80,,,
GJ 3779 b,200.736403,24.467626,13.75,,,
GJ 3942 b,242.263092,52.943874,16.94,,,
GJ 3998 b,259.002655,11.057666,18.16,,,
GJ 3998 c,259.002655,11.057666,18.16,,,
GJ 411 b,165.834137,35.969879,2.55,,,
GJ 422 b,169.000870,-57.547668,12.67,,,
GJ 4276 b,336.321023,59.413835,21.35,,,
GJ 433 b,173.862289,-32.539970,9.07,,,
GJ 433 c,173.862289,-32.539970,9.07,,,
GJ 433 d,173.862289,-32.539970,9.07,,,
GJ 436 b,175.546219,26.706570,9.76,,,
GJ 480 b,189.718506,11.696165,14.24,,,
GJ 504 b,199.193817,9.424156,17.54,,,
GJ 536 b,210.263290,-2.654864,10.41,,,
GJ 581 b,229.861771,-7.722280,6.30,,,
GJ 581 c,229.861771,-7.722280,6.30,,,
GJ 581 e,229.861771,-7.722280,6.30,,,
GJ 625 b,246.352600,54.304104,6.49,,,
GJ 649 b,254.536880,25.744160,10.38,,,
GJ 667 C b,259.745085,-34.996827,6.80,,,
GJ 667 C c,259.745085,-34.996827,6.80,,,
GJ 667 C e,259.745085,-34.996827,6.80,,,
GJ 667 C f,259.745085,-34.996827,6.80,,,
GJ 667 C g,259.745085,-34.996827,6.80,,,
GJ 674 b,262.166443,-46.895191,4.55,,,
GJ 676 A b,262.546692,-51.636978,16.03,,,
GJ 676 A c,262.546692,-51.636978,16.03,,,
GJ 676 A d,262.546692,-51.636978,16.03,,,
GJ 676 A e,262.546692,-51.636978,16.03,,,
GJ 682 b,264.265259,-44.319214,5.01,,,
GJ 682 c,264.265259,-44.319214,5.01,,,
GJ 685 b,263.893677,61.681564,14.32,,,
GJ 687 b,264.107910,68.339142,4.55,,,
GJ 687 c,264.107910,68.339142,4.55,,,
GJ 832 b,323.391571,-49.009006,4.97,,,
GJ 832 c,323.391571,-49.009006,4.97,,,
GJ 849 b,332.418121,-4.640729,8.80,,,
GJ 86 b,32.608059,-50.823723,10.79,,,
GJ 876 b,343.319733,-14.263700,4.68,,,
GJ 876 c,343.319733,-14.263700,4.68,,,
GJ 876 d,343.319733,-14.263700,4.68,,,
GJ 876 e,343.319733,-14.263700,4.68,,,
GJ 887 b,346.466827,-35.853069,3.29,,,
GJ 887 c,346.466827,-35.853069,3.29,,,
GJ 9066 b,30.054021,13.051965,4.47,,,
GJ 9066 c,30.054021,13.051965,4.47,,,
GJ 96 b,35.561016,47.880028,11.94,,,
GJ 9827 b,351.770142,-1.286273,29.69,,,
GJ 9827 c,351.770142,-1.286273,29.69,,,
GJ 9827 d,351.770142,-1.286273,29.69,,,
GQ Lup b,237.300427,-35.651421,151.82,,,
GSC 06214-00210 b,245.477780,-20.719202,145.00,,,
GU Psc b,18.146006,17.065475,48.00,,,
Gl 378 b,150.590622,48.088806,14.96,,,
Gl 49 b,15.661943,62.345043,9.86,,,
Gl 686 b,264.472290,18.591709,8.16,,,
HAT-P-1 b,344.445104,38.674953,159.71,,,
HAT-P-11 b,297.709351,48.080856,37.81,,,
HAT-P-11 c,297.709351,48.080856,37.81,,,
HAT-P-12 b,209.389489,43.493534,142.50,,,
HAT-P-13 b,129.882536,47.352051,214.00,,,
HAT-P-13 c,129.882536,47.352051,214.00,,,
HAT-P-14 b,260.116169,38.242165,224.10,,,
HAT-P-15 b,66.248026,39.460636,193.56,,,
HAT-P-16 b,9.573181,42.463078,235.00,,,
HAT-P-17 b,324.536396,30.488716,92.63,,,
HAT-P-17 c,324.536396,30.488716,92.63,,,
HAT-P-18 b,256.346473,33.012512,166.00,,,
HAT-P-19 b,9.516742,34.711575,215.00,,,
HAT-P-2 b,245.151489,41.048084,128.25,,,
HAT-P-20 b,111.916469,24.336630,70.00,,,
HAT-P-21 b,171.274955,41.027954,279.48,,,
HAT-P-22 b,155.681719,50.128345,81.96,,,
HAT-P-23 b,306.123854,16.762152,368.61,,,
HAT-P-24 b,108.825058,14.262599,420.26,,,
HAT-P-25 b,48.435419,25.197405,302.95,,,
HAT-P-26 b,213.156383,4.059997,142.41,,,
HAT-P-27 b,222.767436,5.947368,204.00,,,
HAT-P-28 b,13.000766,34.728413,395.00,,,
HAT-P-29 b,33.131142,51.778759,316.36,,,
HAT-P-3 b,206.094121,48.028667,135.08,,,
HAT-P-30 b,123.949894,5.836719,215.29,,,
HAT-P-31 b,271.537705,26.426662,347.48,,,
HAT-P-32 b,31.042848,46.687836,291.51,,,
HAT-P-33 b,113.184212,33.835052,400.55,,,
HAT-P-34 b,303.195342,18.104868,251.08,,,
HAT-P-35 b,123.250764,4.787023,514.20,,,
HAT-P-36 b,188.266255,44.915352,296.93,,,
HAT-P-37 b,284.296064,51.269138,411.00,,,
HAT-P-38 b,35.383234,32.246151,249.00,,,
HAT-P-39 b,113.758247,17.830082,642.00,,,
HAT-P-4 b,229.991354,36.229664,314.00,,,
HAT-P-40 b,335.512861,45.457378,470.68,,,
HAT-P-41 b,297.322651,4.672421,351.63,,,
HAT-P-42 b,135.344391,6.097230,447.00,,,
HAT-P-43 b,128.925737,10.206653,542.00,,,
HAT-P-44 b,213.144074,47.014687,363.00,,,
HAT-P-44 c,213.144074,47.014687,363.00,,,
HAT-P-45 b,274.373238,-3.381036,305.00,,,
HAT-P-46 b,270.444201,-2.970947,296.00,,,
HAT-P-49 b,305.441397,26.692652,353.89,,,
HAT-P-5 b,274.405476,36.621410,306.01,,,
HAT-P-50 b,118.063411,12.139410,497.00,,,
HAT-P-51 b,21.065190,32.810764,470.00,,,
HAT-P-52 b,42.721679,29.022396,385.00,,,
HAT-P-53 b,21.871105,38.968147,719.00,,,
HAT-P-54 b,99.898003,25.482540,144.25,,,
HAT-P-55 b,264.273447,25.731186,480.00,,,
HAT-P-56 b,100.848038,27.252293,323.50,,,
HAT-P-57 b,274.743421,10.597294,282.08,,,
HAT-P-6 b,354.774222,42.465973,277.50,,,
HAT-P-65 b,315.905487,11.989404,841.00,,,
HAT-P-66 b,150.572632,53.950863,927.00,,,
HAT-P-67 b,256.610687,44.776981,320.00,,,
HAT-P-69 b,130.505638,3.710566,343.90,,,
HAT-P-7 b,292.247310,47.969513,344.46,,,
HAT-P-70 b,74.552333,9.997979,329.00,,,
HAT-P-8 b,343.041067,35.447109,212.84,,,
HAT-P-9 b,110.168529,37.140652,480.00,,,
HATS-1 b,175.525336,-23.354836,303.00,,,
HATS-10 b,294.306813,-22.204477,496.00,,,
HATS-11 b,289.400757,-22.389927,967.34,,,
HATS-12 b,289.202393,-19.355907,512.41,,,
HATS-13 b,316.961465,-26.096655,476.00,,,
HATS-14 b,313.215479,-25.687334,513.00,,,
HATS-15 b,311.091961,-19.437510,689.00,,,
HATS-16 b,358.558710,-30.012999,774.00,,,
HATS-17 b,192.189799,-47.613693,339.00,,,
HATS-18 b,173.957397,-29.156012,645.00,,,
HATS-2 b,176.739094,-22.562992,360.00,,,
HATS-22 b,174.009720,-29.543312,207.90,,,
HATS-23 b,286.366699,-50.067352,747.00,,,
