Earth,"[['11 Com b', 93.37], ['ups And d', 13.41], ['tau Cet h', 3.6], ['14 Her b', 17.94], ['47 UMa b', 13.8], ['Wolf 1061 d', 4.31], ['Ross 128 b', 3.38], ['Proxima Cen b', 1.3], ['GJ 687 b', 4.55]]"
ups And d,"[['ups And c', 0.0], ['ups And b', 0.0], ['14 And b', 63.56130443579738], ['30 Ari B b', 32.536413900410885], ['BD+14 4559 b', 44.784565997883426], ['gam Cep b', 8.815483022615435], ['51 Peg b', 9.9195230470324], ['51 Eri b', 25.502126817712544], ['alf Ari b', 8.710544161725043], ['GJ 96 b', 2.712968617971047], ['HD 3651 b', 5.474737537944053]]"
tau Cet h,"[['tau Cet g', 0.0], ['tau Cet f', 0.0], ['tau Cet e', 0.0], ['AU Mic b', 9.137188820643965], ['eps Ind A b', 3.5080036256742346], ['eps Eri b', 1.6513451878983951], ['YZ Cet d', 0.47962902936341806], ['LTT 1445 A b', 3.646453769760531]]"
11 Com b,"[['24 Sex b', 52.941437540914556], ['EPIC 201238110 b', 81.14688970085908], ['HD 111591 b', 26.227229865528713]]"
14 Her b,"[['rho CrB b', 3.3252804538227347], ['16 Cyg B b', 12.38807934766419], ['HD 154345 b', 3.0846749592830376], ['GJ 3942 b', 2.949347512319156]]"
24 Sex b,"[['24 Sex c', 0.0], ['BD-08 2823 b', 32.35325847083753], ['HD 86264 b', 20.37884566636129], ['HD 88133 b', 24.605488855675137], ['BD-10 3166 b', 21.778377963910604], ['WASP-43 b', 14.195565941482096], ['K2-321 b', 7.238913899410547]]"
47 UMa b,"[['4 UMa b', 62.190120594682924], ['47 UMa c', 0.0], ['47 UMa d', 0.0], ['55 Cnc b', 6.629843599953572], ['HD 87883 b', 5.563492412187955], ['WISEP J121756.91+162640.2 A b', 7.041190128133885], ['Gl 378 b', 3.392908266844437], ['GJ 1148 b', 3.295825979394099]]"
BD+14 4559 b,"[['91 Aqr b', 31.25465778095737], ['18 Del b', 27.56049884062561], ['WASP-80 b', 19.460961603404183], ['HIP 109600 b', 20.599563848841452], ['HD 203030 b', 13.492962596344976], ['HD 209458 b', 10.765812089963628]]"
30 Ari B b,"[['75 Cet b', 47.04975513248787], ['HD 8673 b', 14.740099521726385], ['HIP 14810 b', 9.250210071994738], ['HD 17674 b', 5.02113563477108]]"
75 Cet b,"[['81 Cet b', 18.896656650501814], ['HD 9174 b', 34.30377921023988]]"
4 UMa b,"[['42 Dra b', 68.51949543416114], ['XO-2 S b', 83.62896098923552], ['6 Lyn b', 26.217904492399278], ['TOI-1728 b', 13.637945452512195], ['HAT-P-22 b', 27.71780562262247], ['KELT-24 b', 30.160418415871778], ['HD 80606 b', 19.35350463268105]]"
rho CrB b,"[['kap CrB b', 12.671003427915844], ['rho CrB c', 0.0]]"
kap CrB b,"[['iot Dra b', 12.778722334115795], ['HD 125612 b', 48.57703284507444]]"
AU Mic b,"[['pi Men c', 16.760911988189672], ['GJ 849 b', 5.404948443485893], ['BD-11 4672 b', 20.24103001237473], ['HD 192310 c', 1.6057986448707104]]"
pi Men c,"[['AB Pic b', 33.98413898794117], ['WD 0806-661 b', 5.639731876013651], ['HD 39091 b', 0.0], ['GJ 3021 b', 4.013816323580745]]"
42 Dra b,"[['11 UMi b', 47.93049603632553], ['TOI-1899 b', 65.20203248731929]]"
91 Aqr b,"[['2MASS J01225093-2439505 b', 24.652937576172892], ['HIP 116454 b', 20.93458073467057], ['K2-116 b', 11.7572565487313], ['HD 222582 b', 5.690502689594867], ['HD 220689 b', 9.762056466216901]]"
2MASS J01225093-2439505 b,"[['2MASS J01033563-5515561 AB b', 24.59568034137562], ['2MASS J02192210-3925225 b', 12.861088171560954], ['HIP 5158 b', 16.032460344200846], ['HD 11964 b', 10.30756524080843], ['HD 8326 b', 5.446659613523068], ['HD 4208 b', 5.700219393759887]]"
YZ Cet d,"[['YZ Cet c', 0.0], ['YZ Cet b', 0.0], ['GJ 876 b', 2.6063087874578867]]"
55 Cnc b,"[['55 Cnc c', 0.0], ['55 Cnc f', 0.0], ['55 Cnc d', 0.0], ['55 Cnc e', 0.0], ['HD 62509 b', 3.7042100021553734], ['HD 63433 b', 10.635378609012877]]"
51 Eri b,"[['BD-06 1339 b', 12.205554439065677], ['DMPP-1 b', 35.538559275560075], ['HD 38529 b', 16.91949831568091], ['HD 30562 b', 3.812243929481904]]"
